Date,Creative,"Creative ID","Total Ads Requested"
2025-12-29,C5MFH1O-3936800-DCL_FY24_ENG_BlackConsumerCametoPlayBLKNOOFF_300x600,4683374,20870
2025-12-29,C5MFH1O-3936800-DCL_FY24_ENG_BlackConsumerCametoPlayBLKNOOFF_320x50,4677501,350586
2025-12-29,C5MFH1O-3936800-DCL_FY24_ENG_BlackConsumerCametoPlayBLKNOOFF_728x90,4683375,255268
2025-12-29,C6BODUU-5037350-WDW_FY26_ENG_FOHOfferFLRESPASSHLDRNOOFF_160x600,5682407,37716
2025-12-29,C6BODUU-5037350-WDW_FY26_ENG_FOHOfferFLRESPASSHLDRNOOFF_300x250,5682408,318605
2025-12-29,C6BODUU-5037350-WDW_FY26_ENG_FOHOfferFLRESPASSHLDRNOOFF_300x600,5682409,36759
2025-12-29,C6BODUU-5037350-WDW_FY26_ENG_FOHOfferFLRESPASSHLDRNOOFF_320x50,5662017,167343
2025-12-29,C6BODUU-5037350-WDW_FY26_ENG_FOHOfferFLRESPASSHLDRNOOFF_728x90,5682410,87176
2025-12-29,C6N749O-4451355-DCL_FY25_ENG_DOMNOOFF_160x600,5291901,8090
2025-12-29,C6N749O-4451355-DCL_FY25_ENG_DOMNOOFF_300x250,5291902,87922
2025-12-29,C6N749O-4451355-DCL_FY25_ENG_DOMNOOFF_300x600,5291903,6897
2025-12-29,C6N749O-4451355-DCL_FY25_ENG_DOMNOOFF_320x50,5240140,63620
2025-12-29,C6N749O-4451355-DCL_FY25_ENG_DOMNOOFF_728x90,5291904,25874
2025-12-29,C7BTS7M-4340201-DCL_FY25_ENG_CondeNastFINAL_300x50,5035163,1
2025-12-29,C7JBW5B-4949701-DLR_FY26_ENG_MagicKeyAcquisition_160x600,5712822,2787
2025-12-29,C7JBW5B-4949701-DLR_FY26_ENG_MagicKeyAcquisition_300x250,5712823,34961
2025-12-29,C7JBW5B-4949701-DLR_FY26_ENG_MagicKeyAcquisition_300x600,5712824,4576
2025-12-29,C7JBW5B-4949701-DLR_FY26_ENG_MagicKeyAcquisition_320x50,5701083,37080
2025-12-29,C7JBW5B-4949701-DLR_FY26_ENG_MagicKeyAcquisition_728x90,5712825,7943
2025-12-29,C7LRJRJ-5242250-DLR_FY26_ENG_HotelsOffersActivateDOMQ2_160x600,5812913,18494
2025-12-29,C7LRJRJ-5242250-DLR_FY26_ENG_HotelsOffersActivateDOMQ2_300x250,5812915,320243
2025-12-29,C7LRJRJ-5242250-DLR_FY26_ENG_HotelsOffersActivateDOMQ2_300x600,5812917,26923
2025-12-29,C7LRJRJ-5242250-DLR_FY26_ENG_HotelsOffersActivateDOMQ2_728x90,5812918,68022
2025-12-29,C7LRJRJ-5242250-DLR_FY26_ENG_HotelsOffersActivateDOMQ2ResortROOffer_320x50,5794254,203474
2025-12-29,C7STB7X-4870303-WDW_FY25_ENG_BaboonZootopiaDigitalBannersCFLStaticFLRESNOOFF_160x600,5682751,8855
2025-12-29,C7STB7X-4870303-WDW_FY25_ENG_BaboonZootopiaDigitalBannersCFLStaticFLRESNOOFF_300x250,5682752,98180
2025-12-29,C7STB7X-4870303-WDW_FY25_ENG_BaboonZootopiaDigitalBannersCFLStaticFLRESNOOFF_300x600,5682753,11592
2025-12-29,C7STB7X-4870303-WDW_FY25_ENG_BaboonZootopiaDigitalBannersCFLStaticFLRESNOOFF_320x50,5662153,74518
